lon,lat,dttm,chla
-180,31.25,2021-09-10T00:00:00.000Z,0.051555361055555554
-180,31.5,2021-09-10T00:00:00.000Z,0.053270183222222225
-180,31.75,2021-09-10T00:00:00.000Z,0.054687637222222224
-180,32,2021-09-10T00:00:00.000Z,0.05155327816666667
-180,32.25,2021-09-10T00:00:00.000Z,0.05451562172222222
-180,32.5,2021-09-10T00:00:00.000Z,0.06347020366666667
-180,32.75,2021-09-10T00:00:00.000Z,0.06152900633333334
-180,33,2021-09-10T00:00:00.000Z,0.06315147077777777
-180,33.25,2021-09-10T00:00:00.000Z,0.059871069222222226
-180,33.5,2021-09-10T00:00:00.000Z,0.06741397422222223
-180,33.75,2021-09-10T00:00:00.000Z,0.07003156366666667
-180,34,2021-09-10T00:00:00.000Z,0.06276280605555555
-180,34.25,2021-09-10T00:00:00.000Z,0.06208565077777778
-180,34.5,2021-09-10T00:00:00.000Z,0.06978032007142858
-180,34.75,2021-09-10T00:00:00.000Z,0.06264010433333334
-180,35,2021-09-10T00:00:00.000Z,0.06910542333333333
-180,35.25,2021-09-10T00:00:00.000Z,0.07983338255555555
-180,35.5,2021-09-10T00:00:00.000Z,0.06327077872222223
-180,35.75,2021-09-10T00:00:00.000Z,0.055962735722222226
-180,36,2021-09-10T00:00:00.000Z,0.059207408866666665
-180,36.25,2021-09-10T00:00:00.000Z,0.06497062283333334
-180,36.5,2021-09-10T00:00:00.000Z,0.07181502841176471
-180,36.75,2021-09-10T00:00:00.000Z,0.07558518344444444
-180,37,2021-09-10T00:00:00.000Z,0.08829030216666667
-180,37.25,2021-09-10T00:00:00.000Z,0.09051358322222222
-180,37.5,2021-09-10T00:00:00.000Z,0.07751983988888889
-180,37.75,2021-09-10T00:00:00.000Z,0.08430133011111111
-180,38,2021-09-10T00:00:00.000Z,0.08423726255555555
-180,38.25,2021-09-10T00:00:00.000Z,0.08807371533333333
-180,38.5,2021-09-10T00:00:00.000Z,0.086405159
-180,38.75,2021-09-10T00:00:00.000Z,0.09142413088888889
-180,39,2021-09-10T00:00:00.000Z,0.10559044388888889
-180,39.25,2021-09-10T00:00:00.000Z,0.10631119094444444
-180,39.5,2021-09-10T00:00:00.000Z,0.11501776394444445
-180,39.75,2021-09-10T00:00:00.000Z,0.12258610272222223
-180,40,2021-09-10T00:00:00.000Z,0.13079961888888889
-180,40.25,2021-09-10T00:00:00.000Z,0.12774387352941177
-180,40.5,2021-09-10T00:00:00.000Z,0.1300466
-180,40.75,2021-09-10T00:00:00.000Z,0.10387252728571429
-180,41,2021-09-10T00:00:00.000Z,0.099192606
-180,41.25,2021-09-10T00:00:00.000Z,0.11708524000000001
-180,41.5,2021-09-10T00:00:00.000Z,0.12566904225
-180,41.75,2021-09-10T00:00:00.000Z,0.14055910615384615
-180,42,2021-09-10T00:00:00.000Z,NA
-180,42.25,2021-09-10T00:00:00.000Z,NA
-180,42.5,2021-09-10T00:00:00.000Z,0.205993235
-180,42.75,2021-09-10T00:00:00.000Z,0.18441165999999998
-180,43,2021-09-10T00:00:00.000Z,0.34505868
-180,43.25,2021-09-10T00:00:00.000Z,0.455095415
-180,43.5,2021-09-10T00:00:00.000Z,0.5336119526666666
-180,43.75,2021-09-10T00:00:00.000Z,0.4874117775
-180,44,2021-09-10T00:00:00.000Z,0.44637216749999997
-180,44.25,2021-09-10T00:00:00.000Z,0.3927329590909091
-180,44.5,2021-09-10T00:00:00.000Z,0.477019655
-180,44.75,2021-09-10T00:00:00.000Z,0.48948002
-180,45,2021-09-10T00:00:00.000Z,NA
-180,45.25,2021-09-10T00:00:00.000Z,0.9897933666666666
-180,45.5,2021-09-10T00:00:00.000Z,0.5430893188888889
-180,45.75,2021-09-10T00:00:00.000Z,0.36250616055555557
-180,46,2021-09-10T00:00:00.000Z,0.4143453327777778
-180,46.25,2021-09-10T00:00:00.000Z,0.4680685866666667
-180,46.5,2021-09-10T00:00:00.000Z,0.44694046555555555
-180,46.75,2021-09-10T00:00:00.000Z,0.761483721875
-180,47,2021-09-10T00:00:00.000Z,1.1376992384615385
-180,47.25,2021-09-10T00:00:00.000Z,1.5866189222222222
-180,47.5,2021-09-10T00:00:00.000Z,1.1662115825
-180,47.75,2021-09-10T00:00:00.000Z,NA
-180,48,2021-09-10T00:00:00.000Z,0.7773559166666667
-180,48.25,2021-09-10T00:00:00.000Z,0.7339900814285715
-180,48.5,2021-09-10T00:00:00.000Z,0.6349772522222222
-180,48.75,2021-09-10T00:00:00.000Z,NA
-180,49,2021-09-10T00:00:00.000Z,1.03837140375
-180,49.25,2021-09-10T00:00:00.000Z,1.0235123481818182
-180,49.5,2021-09-10T00:00:00.000Z,1.206824175
-180,49.75,2021-09-10T00:00:00.000Z,1.1369243685714285
-180,50,2021-09-10T00:00:00.000Z,1.1956919333333333
-179.75,0,2021-09-10T00:00:00.000Z,0.23173779428571428
-179.75,0.25,2021-09-10T00:00:00.000Z,0.2010924769230769
-179.75,0.5,2021-09-10T00:00:00.000Z,0.15019772
-179.75,0.75,2021-09-10T00:00:00.000Z,0.13579415
-179.75,1,2021-09-10T00:00:00.000Z,0.15502306785714287
-179.75,1.25,2021-09-10T00:00:00.000Z,0.15718875416666667
-179.75,1.5,2021-09-10T00:00:00.000Z,0.15216429888888888
-179.75,1.75,2021-09-10T00:00:00.000Z,0.14747834272727273
-179.75,2,2021-09-10T00:00:00.000Z,0.14314548285714288
-179.75,2.25,2021-09-10T00:00:00.000Z,0.15330221
-179.75,2.5,2021-09-10T00:00:00.000Z,0.134979725625
-179.75,2.75,2021-09-10T00:00:00.000Z,0.12988911
-179.75,3,2021-09-10T00:00:00.000Z,0.13569689199999999
-179.75,3.25,2021-09-10T00:00:00.000Z,0.150892415
-179.75,3.5,2021-09-10T00:00:00.000Z,0.15357189999999998
-179.75,3.75,2021-09-10T00:00:00.000Z,0.1311649877142857
-179.75,4,2021-09-10T00:00:00.000Z,0.13213245025
-179.75,4.25,2021-09-10T00:00:00.000Z,0.11596846866666667
-179.75,4.5,2021-09-10T00:00:00.000Z,0.133567418
-179.75,4.75,2021-09-10T00:00:00.000Z,NA
-179.75,5,2021-09-10T00:00:00.000Z,0.14639719857142858
-179.75,5.25,2021-09-10T00:00:00.000Z,0.14566582333333333
-179.75,5.5,2021-09-10T00:00:00.000Z,0.124378145
-179.75,5.75,2021-09-10T00:00:00.000Z,NA
-179.75,6,2021-09-10T00:00:00.000Z,NA
-179.75,6.25,2021-09-10T00:00:00.000Z,0.05786418383333333
-179.75,6.5,2021-09-10T00:00:00.000Z,NA
-179.75,6.75,2021-09-10T00:00:00.000Z,0.04429264145454545
-179.75,7,2021-09-10T00:00:00.000Z,NA
-179.75,7.25,2021-09-10T00:00:00.000Z,0.04935490032
-179.75,7.5,2021-09-10T00:00:00.000Z,0.051976218722222224
-179.75,7.75,2021-09-10T00:00:00.000Z,0.056210208694444444
-179.75,8,2021-09-10T00:00:00.000Z,0.0537805297
-179.75,8.25,2021-09-10T00:00:00.000Z,NA
-179.75,8.5,2021-09-10T00:00:00.000Z,0.047819855
-179.75,8.75,2021-09-10T00:00:00.000Z,0.047149962038461536
-179.75,9,2021-09-10T00:00:00.000Z,0.046461994636363635
-179.75,9.25,2021-09-10T00:00:00.000Z,0.04041702283333333
-179.75,9.5,2021-09-10T00:00:00.000Z,0.034405871357142855
-179.75,9.75,2021-09-10T00:00:00.000Z,0.032240925499999996
-179.75,10,2021-09-10T00:00:00.000Z,0.03478954533333333
-179.75,10.25,2021-09-10T00:00:00.000Z,0.024758931999999997
-179.75,10.5,2021-09-10T00:00:00.000Z,0.02632369
-179.75,10.75,2021-09-10T00:00:00.000Z,0.0338001585
-179.75,11,2021-09-10T00:00:00.000Z,0.03120600676190476
-179.75,11.25,2021-09-10T00:00:00.000Z,0.031558133657142856
-179.75,11.5,2021-09-10T00:00:00.000Z,0.03164135955
-179.75,11.75,2021-09-10T00:00:00.000Z,0.029319922444444445
-179.75,12,2021-09-10T00:00:00.000Z,0.030842977625
-179.75,12.25,2021-09-10T00:00:00.000Z,0.03151388216666667
-179.75,12.5,2021-09-10T00:00:00.000Z,0.032568819939393936
-179.75,12.75,2021-09-10T00:00:00.000Z,0.031263026
-179.75,13,2021-09-10T00:00:00.000Z,0.0311044956
-179.75,13.25,2021-09-10T00:00:00.000Z,0.030586132999999998
-179.75,13.5,2021-09-10T00:00:00.000Z,0.022989311833333335
-179.75,13.75,2021-09-10T00:00:00.000Z,0.0313618764
-179.75,14,2021-09-10T00:00:00.000Z,0.027585542
-179.75,14.25,2021-09-10T00:00:00.000Z,0.0289732652
-179.75,14.5,2021-09-10T00:00:00.000Z,0.027130514571428573
-179.75,14.75,2021-09-10T00:00:00.000Z,0.028293492400000002
-179.75,15,2021-09-10T00:00:00.000Z,0.03278856253846154
-179.75,15.25,2021-09-10T00:00:00.000Z,0.0319787484
-179.75,15.5,2021-09-10T00:00:00.000Z,0.030312448285714288
-179.75,15.75,2021-09-10T00:00:00.000Z,NA
-179.75,16,2021-09-10T00:00:00.000Z,0.0315657222
-179.75,16.25,2021-09-10T00:00:00.000Z,NA
-179.75,16.5,2021-09-10T00:00:00.000Z,0.032653929
-179.75,16.75,2021-09-10T00:00:00.000Z,NA
-179.75,17,2021-09-10T00:00:00.000Z,0.0299790174
-179.75,17.25,2021-09-10T00:00:00.000Z,0.033440334
-179.75,17.5,2021-09-10T00:00:00.000Z,NA
-179.75,17.75,2021-09-10T00:00:00.000Z,NA
-179.75,18,2021-09-10T00:00:00.000Z,NA
-179.75,18.25,2021-09-10T00:00:00.000Z,NA
-179.75,18.5,2021-09-10T00:00:00.000Z,0.037065317714285714
-179.75,18.75,2021-09-10T00:00:00.000Z,NA
-179.75,19,2021-09-10T00:00:00.000Z,0.036141116714285715
-179.75,19.25,2021-09-10T00:00:00.000Z,NA
-179.75,19.5,2021-09-10T00:00:00.000Z,0.037523918
-179.75,19.75,2021-09-10T00:00:00.000Z,0.03919213766666667
-179.75,20,2021-09-10T00:00:00.000Z,0.033272684
-179.75,20.25,2021-09-10T00:00:00.000Z,0.042053711
-179.75,20.5,2021-09-10T00:00:00.000Z,NA
-179.75,20.75,2021-09-10T00:00:00.000Z,0.04983203511111111
-179.75,21,2021-09-10T00:00:00.000Z,0.04572926332352941
-179.75,21.25,2021-09-10T00:00:00.000Z,0.04682942842857143
-179.75,21.5,2021-09-10T00:00:00.000Z,0.04329985213333333
-179.75,21.75,2021-09-10T00:00:00.000Z,0.04664082277777778
-179.75,22,2021-09-10T00:00:00.000Z,0.04310786187878788
-179.75,22.25,2021-09-10T00:00:00.000Z,0.044672819384615384
-179.75,22.5,2021-09-10T00:00:00.000Z,0.044152267
-179.75,22.75,2021-09-10T00:00:00.000Z,NA
-179.75,23,2021-09-10T00:00:00.000Z,0.048452341499999996
-179.75,23.25,2021-09-10T00:00:00.000Z,0.04671418264
-179.75,23.5,2021-09-10T00:00:00.000Z,0.04881868765217391
-179.75,23.75,2021-09-10T00:00:00.000Z,0.04992589057142857
-179.75,24,2021-09-10T00:00:00.000Z,0.04980238508
-179.75,24.25,2021-09-10T00:00:00.000Z,0.05367970904
-179.75,24.5,2021-09-10T00:00:00.000Z,0.049835156735294116
-179.75,24.75,2021-09-10T00:00:00.000Z,0.04753875590625
-179.75,25,2021-09-10T00:00:00.000Z,0.04243672052380952
-179.75,25.25,2021-09-10T00:00:00.000Z,0.04512067472727273
-179.75,25.5,2021-09-10T00:00:00.000Z,0.04574073
-179.75,25.75,2021-09-10T00:00:00.000Z,0.0478584206875
-179.75,26,2021-09-10T00:00:00.000Z,0.045080479806451614
-179.75,26.25,2021-09-10T00:00:00.000Z,0.046290633315789476
-179.75,26.5,2021-09-10T00:00:00.000Z,0.04544860486206897
-179.75,26.75,2021-09-10T00:00:00.000Z,0.047360138555555556
-179.75,27,2021-09-10T00:00:00.000Z,0.04534426556521739
-179.75,27.25,2021-09-10T00:00:00.000Z,0.04665668816666667
