dttm,lon,lat,sss
2014-11-01,-167.5,2.5,34.8553
2014-11-01,-166.5,2.5,34.9497
2014-11-01,-165.5,2.5,34.9634
2014-11-01,-164.5,2.5,34.9152
2014-11-01,-163.5,2.5,34.9793
2014-11-01,-162.5,2.5,34.9374
2014-11-01,-161.5,2.5,35.0764
2014-11-01,-160.5,2.5,35.1027
2014-11-01,-159.5,2.5,35.051
2014-11-01,-158.5,2.5,35.0597
2014-11-01,-157.5,2.5,35.1511
2014-11-01,-156.5,2.5,35.2414
2014-11-01,-155.5,2.5,34.7266
2014-11-01,-154.5,2.5,34.8073
2014-11-01,-153.5,2.5,34.846
2014-11-01,-152.5,2.5,34.9352
2014-11-01,-151.5,2.5,34.8624
2014-11-01,-150.5,2.5,34.822
2014-11-01,-149.5,2.5,34.8208
2014-11-01,-148.5,2.5,34.8654
2014-11-01,-147.5,2.5,34.8943
2014-11-01,-146.5,2.5,34.8305
2014-11-01,-145.5,2.5,34.642
2014-11-01,-144.5,2.5,34.6372
2014-11-01,-143.5,2.5,34.8674
2014-11-01,-142.5,2.5,34.9391
2014-11-01,-141.5,2.5,34.9167
2014-11-01,-140.5,2.5,34.9699
2014-11-01,-139.5,2.5,34.9014
2014-11-01,-138.5,2.5,34.7646
2014-11-01,-137.5,2.5,34.7844
2014-11-01,-136.5,2.5,34.7812
2014-11-01,-135.5,2.5,34.8054
2014-11-01,-134.5,2.5,34.7698
2014-11-01,-133.5,2.5,34.8721
2014-11-01,-132.5,2.5,34.8055
2014-11-01,-131.5,2.5,34.7122
2014-11-01,-130.5,2.5,34.6977
2014-11-01,-129.5,2.5,34.7335
2014-11-01,-128.5,2.5,34.7605
2014-11-01,-127.5,2.5,34.6686
2014-11-01,-126.5,2.5,34.6908
2014-11-01,-125.5,2.5,34.6497
2014-11-01,-124.5,2.5,34.6095
2014-11-01,-123.5,2.5,34.6626
2014-11-01,-122.5,2.5,34.6392
2014-11-01,-121.5,2.5,34.6283
2014-11-01,-120.5,2.5,34.515
2014-11-01,-119.5,2.5,34.5301
2014-11-01,-118.5,2.5,34.5839
2014-11-01,-117.5,2.5,34.432
2014-11-01,-116.5,2.5,34.4912
2014-11-01,-115.5,2.5,34.4217
2014-11-01,-114.5,2.5,34.3954
2014-11-01,-113.5,2.5,34.2384
2014-11-01,-112.5,2.5,34.3279
2014-11-01,-111.5,2.5,34.2596
2014-11-01,-110.5,2.5,34.1245
2014-11-01,-109.5,2.5,34.03
2014-11-01,-108.5,2.5,33.9171
2014-11-01,-107.5,2.5,33.8
